FAC_ID,NAMA,KATEGORI,SEKTOR,OPERATOR,DAERAH,LOKALITI,EASTING_GDM2000,NORTHING_GDM2000,LATITUDE,LONGITUDE,CRS_SOURCE,SUMBER,SEMAKAN
1,Hospital Shah Alam,Hospital,Kerajaan,KKM,Petaling,Shah Alam,-23640.598,-11398.079,3.07094136,101.48982303,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
2,Hospital Sungai Buloh,Hospital,Kerajaan,KKM,Petaling,Sungai Buloh,-13208.23,5030.717,3.2195,101.5837,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
3,Hospital Sultan Idris Shah Serdang,Hospital,Kerajaan,KKM,Petaling,Serdang,1957.776,-21806.075,2.97677212,101.72007708,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
4,Hospital Ampang,Hospital,Kerajaan,KKM,Hulu Langat,Ampang,6835.979,-5056.182,3.12823134,101.76401003,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
5,Hospital Tengku Permaisuri Norashikin,Hospital,Kerajaan,KKM,Hulu Langat,Kajang,10007.204,-19908.007,2.99391253,101.79248963,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
6,Hospital Cyberjaya,Hospital,Kerajaan,KKM,Sepang,Cyberjaya,-7932.832,-28073.789,2.92011406,101.63109675,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
7,Hospital Tengku Ampuan Rahimah,Hospital,Kerajaan,KKM,Klang,Klang,-29234.756,-16916.027,3.02104373,101.43949575,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
8,Hospital Banting,Hospital,Kerajaan,KKM,Kuala Langat,Banting,-23352.428,-40986.708,2.80335808,101.49239082,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
9,Hospital Tanjung Karang,Hospital,Kerajaan,KKM,Kuala Selangor,Tanjung Karang,-53976.636,24545.742,3.39598527,101.21686566,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
10,Hospital Kuala Kubu Bharu,Hospital,Kerajaan,KKM,Hulu Selangor,Kuala Kubu Bharu,-5538.202,43228.953,3.56492178,101.65280281,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
11,Hospital Tengku Ampuan Jemaah,Hospital,Kerajaan,KKM,Sabak Bernam,Sabak Bernam,-79232.484,64715.031,3.75917345,100.98943476,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
12,Hospital Selayang,Hospital,Kerajaan,KKM,Gombak,Selayang,-6173.384,7520.303,3.242,101.647,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
13,Hospital Orang Asli Gombak,Hospital,Kerajaan,KKM,Gombak,Gombak,3181.536,13133.916,3.29274019,101.73118767,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
